"tract","Name","Teenage_Birth_Rate_women_only_rP_gF_p25"
24510110100,"Downtown, Baltimore, MD",0.4611
24005402404,"Gwynn Oak, Lochearn, MD",0.459
24510280403,"Westgate, Baltimore, MD",0.457
24510270902,"Perring Loch, Baltimore, MD",0.4558
24510270101,"Arcadia, Baltimore, MD",0.4525
24510280101,"Reisterstown Station, Baltimore, MD",0.4498
24510270802,"Ramblewood, Baltimore, MD",0.4494
24510270102,"Waltherson, Baltimore, MD",0.4492
24510210100,"Pigtown, Baltimore, MD",0.4489
24510040200,"Downtown, Baltimore, MD",0.4483
24510180300,"Hollins Market, Baltimore, MD",0.4478
24510250402,"Brooklyn, Baltimore, MD",0.4469
24005491401,"Parkville, MD",0.4462
24510261100,"Canton, Baltimore, MD",0.4462
24510160700,"Rosemont, Baltimore, MD",0.444
24510260201,"Frankford, Baltimore, MD",0.4437
24005402307,"Pikesville, MD",0.4395
24510270805,"Mid-Govans, Baltimore, MD",0.4394
24003750102,"Baltimore, MD",0.4386
24510010300,"Canton, Baltimore, MD",0.4377
24510270804,"Lake Walker, Baltimore, MD",0.4366
24510271900,"Glen, Baltimore, MD",0.4358
24005400900,"Catonsville, MD",0.4345
24005451300,"Middle River, MD",0.4336
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.4294
24510180100,"Poppleton, Baltimore, MD",0.4289
24005450800,"Essex, MD",0.4275
24510190200,"Pratt Monroe, Baltimore, MD",0.4267
24510240400,"Riverside Park, Baltimore, MD",0.4266
24005441000,"Baltimore, MD",0.4253
24510120700,"Remington, Baltimore, MD",0.4247
24005402304,"Gwynn Oak, Baltimore, MD",0.4239
24510040100,"Downtown, Baltimore, MD",0.4205
24510151100,"East Arlington, Baltimore, MD",0.4196
24005450503,"Essex, MD",0.4172
24510260203,"Frankford, Baltimore, MD",0.4162
24005402302,"Windsor Mill, Milford Mill, MD",0.4157
24510270803,"Loch Raven, Baltimore, MD",0.4136
24005491402,"Parkville, MD",0.4096
24005402305,"Lochearn, Pikesville, MD",0.4095
24005402604,"Randallstown, MD",0.4065
24005402303,"Windsor Mill, Baltimore, MD",0.4054
24005420301,"Dundalk, MD",0.4044
24510230200,"South Baltimore, Baltimore, MD",0.4026
24510010200,"Patterson Park, Baltimore, MD",0.4
24510130600,"Hampden, Baltimore, MD",0.3994
24510130806,"Woodberry, Baltimore, MD",0.3991
24510280402,"Rognel Heights, Baltimore, MD",0.399
24005401101,"Woodlawn, MD",0.3986
24005402406,"Windsor Mill, Milford Mill, MD",0.3956
24510280102,"Gwynn Oak, Baltimore, MD",0.393
24510130700,"Hampden, Baltimore, MD",0.3909
24510260605,"Medford - Broening, Baltimore, MD",0.3888
24510250500,"Curtis Bay, Baltimore, MD",0.3857
24510272006,"Glen, Baltimore, MD",0.3853
24005402306,"Windsor Mill, Baltimore, MD",0.3851
24510260800,"Baltimore Highlands, Baltimore, MD",0.3847
24510280302,"West Forest Park, Baltimore, MD",0.3845
24005420402,"Dundalk, MD",0.3838
24003750803,"Glen Burnie, MD",0.3836
24005440701,"Rosedale, MD",0.383
24510250205,"Lakeland, Baltimore, MD",0.3823
24005400702,"Baltimore, MD",0.3819
24005402403,"Gwynn Oak, Baltimore, MD",0.3817
24005402603,"Randallstown, MD",0.3782
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.377
24005401505,"Catonsville, MD",0.3748
24005450504,"Essex, MD",0.371
24510220100,"Baltimore, MD",0.3701
24005400800,"Catonsville, MD",0.3694
24027601203,"Elkridge, MD",0.368
24510240200,"Riverside, Baltimore, MD",0.3672
24510270402,"Glenham-Belford, Baltimore, MD",0.3648
24510280401,"Baltimore, MD",0.3648
24510250303,"Morrell Park, Baltimore, MD",0.3634
24510010400,"Canton, Baltimore, MD",0.3626
24510270401,"Glenham-Belford, Baltimore, MD",0.3626
24510130805,"Cold Springs, Baltimore, MD",0.3614
24003750101,"Brooklyn Park, MD",0.3611
24005402405,"Gwynn Oak, Baltimore, MD",0.3609
24510240300,"Riverside, Baltimore, MD",0.3598
24005401507,"Windsor Mill, Baltimore, MD",0.3586
24003750300,"Linthicum Heights, MD",0.3561
24005450400,"Essex, MD",0.3533
24005451402,"Middle River, MD",0.3526
24510010500,"Upper Fells Point, Baltimore, MD",0.3525
24005440600,"Rosedale, MD",0.3519
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",0.3518
24510250206,"Morrell Park, Baltimore, MD",0.3489
24005492300,"Essex, MD",0.3486
24005401102,"Gwynn Oak, Woodlawn, MD",0.3477
24510270801,"Idlewood, Baltimore, MD",0.3453
24005411302,"White Marsh, MD",0.3426
24005451500,"Middle River, MD",0.3414
24005401301,"Woodlawn, MD",0.3413
24510020200,"Upper Fells Point, Baltimore, MD",0.3388
24510272003,"Baltimore, MD",0.3373
24003751000,"Glen Burnie, MD",0.334
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.3333
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.3326
24005420401,"Dundalk, MD",0.3301
24005401506,"Windsor Mill, Baltimore, MD",0.3285
24005403100,"Gwynn Oak, Pikesville, MD",0.3279
24005403201,"Gwynn Oak, Lochearn, MD",0.3278
24510260401,"Armistead Gardens, Baltimore, MD",0.3273
24510271101,"Radnor - Winston, Baltimore, MD",0.3257
24005420701,"Dundalk, MD",0.3253
24005450200,"Essex, MD",0.3253
24510130804,"Hampden, Baltimore, MD",0.3253
24005452400,"Dundalk, MD",0.3249
24005421000,"Dundalk, MD",0.3231
24510270302,"Waltherson, Baltimore, MD",0.3226
24005420900,"Dundalk, MD",0.3209
24510272007,"Fallstaff, Baltimore, MD",0.3207
24510230300,"South Baltimore, Baltimore, MD",0.3204
24003750202,"Brooklyn Park, MD",0.3188
24005451401,"Middle River, MD",0.3184
24510270200,"Lauraville, Baltimore, MD",0.3153
24510020100,"Upper Fells Point, Baltimore, MD",0.314
24510250401,"Brooklyn, Baltimore, MD",0.3127
24003750201,"Brooklyn, Baltimore, MD",0.3106
24005451900,"Edgemere, MD",0.3103
24005420100,"Dundalk, MD",0.3082
24005491500,"Parkville, MD",0.3074
24005401400,"Catonsville, MD",0.3063
24005451200,"Middle River, MD",0.3042
24005451000,"Essex, MD",0.3026
24005452500,"Dundalk, MD",0.3016
24005402407,"Windsor Mill, Milford Mill, MD",0.3013
24005421101,"Baltimore, MD",0.2992
24005441102,"Rosedale, MD",0.2989
24005421200,"Dundalk, MD",0.295
24005430400,"Halethorpe, MD",0.2949
24003751102,"Glen Burnie, MD",0.2946
24510130803,"Medfield, Baltimore, MD",0.2942
24510240100,"Locust Point, Baltimore, MD",0.2893
24005420500,"Baltimore, MD",0.2881
24005401302,"Gwynn Oak, Baltimore, MD",0.2879
24005451100,"Essex, MD",0.2865
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.2854
24005450100,"Rosedale, MD",0.2849
24510260501,"Joseph Lee, Baltimore, MD",0.2827
24003750801,"Glen Burnie, MD",0.2822
24510260900,"Baltimore, MD",0.2762
24005452000,"Sparrows Point, MD",0.2757
24005401200,"Woodlawn, MD",0.2756
24003740102,"Hanover, MD",0.2749
24005450501,"Essex, MD",0.2743
24005440300,"Nottingham, MD",0.2741
24510270301,"Lauraville, Baltimore, MD",0.274
24003731308,"Pasadena, MD",0.2737
24005403402,"Pikesville, MD",0.27
24003751200,"Linthicum Heights, MD",0.2687
24005440800,"Rosedale, MD",0.2686
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.2682
24003751103,"Glen Burnie, MD",0.266
24005430900,"Baltimore, MD",0.2657
24005491300,"Baltimore, MD",0.2652
24003750900,"Glen Burnie, MD",0.2634
24005451600,"Middle River, MD",0.2629
24005452300,"Baltimore, MD",0.2595
24005440400,"Baltimore, MD",0.2591
24005452100,"Sparrows Point, MD",0.2577
24510260700,"Fifteenth Street, Baltimore, MD",0.2559
24005440702,"Rosedale, MD",0.2509
24005420600,"Baltimore, MD",0.2478
24003750804,"Glen Burnie, MD",0.2463
24510010100,"Canton, Baltimore, MD",0.2456
24005403401,"Pikesville, MD",0.2413
24005420302,"Dundalk, MD",0.2372
24005420303,"Dundalk, MD",0.2339
24005450300,"Essex, MD",0.2336
24510230100,"Baltimore, MD",0.2305
24510250103,"Violetville, Baltimore, MD",0.2288
24005403300,"Lochearn, Pikesville, MD",0.2235
24510270703,"North Harford Road, Baltimore, MD",0.2206
24005491100,"Baltimore, MD",0.2205
24005400600,"Catonsville, MD",0.2198
24005440900,"Rosedale, MD",0.2164
24005440200,"Nottingham, MD",0.2145
24005492102,"Parkville, MD",0.214
24005400200,"Catonsville, MD",0.2128
24027601201,"Elkridge, MD",0.2111
24005450900,"Essex, MD",0.2106
24510270502,"North Harford Road, Baltimore, MD",0.2105
24005411408,"Nottingham, MD",0.209
24005420702,"Dundalk, MD",0.2085
24005401000,"Catonsville, MD",0.2071
24005492002,"Parkville, MD",0.2049
24005403701,"Owings Mills, MD",0.2036
24005440500,"Nottingham, MD",0.2019
24027601204,"Elkridge, MD",0.2017
24510270501,"Woodring, Baltimore, MD",0.2008
24005420800,"Dundalk, MD",0.1983
24005411306,"Nottingham, MD",0.1945
24005492101,"Parkville, MD",0.1771
24005400701,"Catonsville, MD",0.1761
24005411407,"Parkville, MD",0.1757
24510020300,"Fells Point, Baltimore, MD",0.1756
24005430700,"Halethorpe, MD",0.1683
24003750400,"Linthicum Heights, MD",0.1654
24005400500,"Catonsville, MD",0.1645
24005440100,"Baltimore, MD",0.1596
24510271200,"Homeland, Baltimore, MD",0.158
24005430600,"Relay, Halethorpe, MD",0.1574
24005441101,"Rosedale, MD",0.1543
24510120202,"Baltimore, MD",0.1498
24510272005,"Cross Country, Baltimore, MD",0.1498
24510271400,"Evergreen, Baltimore, MD",0.1474
24005430800,"Halethorpe, MD",0.146
24510272004,"Cheswolde, Baltimore, MD",0.1454
24005421102,"Dundalk, MD",0.14
24005401503,"Catonsville, MD",0.1364
24005411307,"Nottingham, MD",0.1268
24005401504,"Catonsville, MD",0.1203
24005491900,"Parkville, MD",0.1132
24005492001,"Parkville, MD",0.1084
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.108
24005403602,"Baltimore, MD",0.1077
24005420200,"Dundalk, MD",0.1059
24005400400,"Catonsville, MD",0.1046
24005491202,"Towson, MD",0.1024
24005403702,"Pikesville, MD",0.0997
24005411303,"Nottingham, MD",0.0917
24005400100,"Catonsville, MD",0.0888
24005490800,"Towson, MD",0.0864
24027601103,"West Elkridge, Elkridge, MD",0.0847
24510271300,"Roland Park, Baltimore, MD",0.0828
24005411308,"Nottingham, MD",0.0797
24005491600,"Parkville, MD",0.0733
24027601104,"Ellicott City, MD",0.0718
24510271501,"Mount Washington, Baltimore, MD",0.0699
24005411309,"Perry Hall, MD",0.0691
24005403500,"Pikesville, MD",0.0674
24005490603,"Baltimore, MD",0.059
24005403601,"Baltimore, MD",0.0365
24005490601,"Baltimore, MD",0.0321
24005490602,"Baltimore, MD",0.029
24005490500,"Towson, MD",0.029
24005403803,"Pikesville, MD",0.0264
24005451701,"Middle River, MD",0.0174
24005491000,"Baltimore, MD",0
24005492500,"Baltimore, MD",
24005490605,"Towson, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24510271503,"Cross Keys, Baltimore, MD",
24003980000,"Linthicum Heights, MD",
